id	original_title	french_title	romanized_title	language	release_year	runtime	genres	avg_rating	vote_count	directors	writers	budget	revenue	production_companies	production_countries	poster_path	trailer_url	kw_tmdb	kw_imdb	plot
tt0017048	狂った一頁	Une page folle	Kurutta ippêji	Japanese	1926	71	Drama, Horror, Thriller	7.4	4532	Teinosuke Kinugasa	Teinosuke Kinugasa	0	0	Shin Kankaku-ha Eiga Renmei Productions, Kinugasa Productions, National Film Art	Japan	/jHKDJ9mqHUYIgS4jajofy0Jpx97.jpg		japan, asylum, silent film, mental asylum, dowry, partially lost film, psychological horror	asylum, silent film, mental illness, insane asylum, father daughter relationship	A man takes a job at an asylum with hopes of freeing his imprisoned wife.
tt0017049	狂恋の女師匠	L'amour fou d'une maîtresse de chant	Kyôren no onna shishô	Japanese	1926	53	Drama, Horror, Romance	7.0	28	Kenji Mizoguchi		0	0	Nikkatsu Corporation	Japan	/z3DYW4jq6EB6gdBSa1yg2N4PU2K.jpg			lovers on the lam, woman, ghost, based on novel	The curse of a jealous woman destroys the lovers on the run.
tt0018600	西厢记	La Rose de Pushui	Xi xiang ji	Chinese Simplified	1927	49	Drama, Romance	6.1	163			100	100	Minxin Film Company	China	/8F6Atxi8kEp7T9KLixchmSp6HuY.jpg		partially lost film	marriage	A famous Chinese story about a young couple who consummate their marriage without the approval of their parents.
tt0018606	懺悔の刃	Le sabre de pénitence	Zange no yaiba	Japanese	1927	70	Drama	6.5	58	Yasujirô Ozu	Kôgo Noda, Yasujirô Ozu	0	0		Japan	/1wp5X03zgg0XypxGva7MQbdFgNH.jpg			lost film	Ishimatsu is out of jail and wants to rebuild his life. But his brother, Sakichi, and his old partners are not going to allow it.
tt0018714	肉体美	Un corps magnifique	Nikutaibi	Japanese	1928	55	Comedy	5.1	38	Yasujirô Ozu	Akira Fushimi, Yasujirô Ozu	0	0	Shochiku	Japan	/fYWNvykgKBeG8ipz0naMpZ0VurT.jpg			lost film	A hen-pecked man works as his artist wife's model and a house-husband. When her patron flirts with her and humiliates him, he decides to get revenge by trying his own hand as a painter.
tt0019043	十字路	Routes en croix	Jûjiro	Japanese	1928	74	Drama	7.1	458	Teinosuke Kinugasa	Teinosuke Kinugasa	0	0	Kinugasa Eiga Renmei, Shochiku	Japan	/487kCNtHR7ZWKr5BToKijb2Ifv7.jpg		brothel, courtesan	prostitute, sacrifice, fight, brother, sister	After falling in love with a courtesan, Rikiya is blinded by ash during a fight in a brothel. Believing the blindness permanent and his opponent dead, Rikiya goes back home to his sister. Okiku, desperate to protect her brother who thinks himself a murderer, wants to sacrifice herself for him and become a prostitute to pay for Rikiya's treatment.
tt0019221	女房紛失	Femme perdue	Nyôbô funshitsu	Japanese	1928	55	Drama	5.4	38	Yasujirô Ozu		0	0	Shochiku	Japan	/FGZtEwOHoTZ8C2dxcL6uLoNAla.jpg			lost film	A married man falls for a dancer and his wife's uncle hires a private detective to spy on him.
tt0019543	若人の夢	Rêves de jeunesse	Wakôdo no yume	Japanese	1928	56	Comedy	5.5	53	Yasujirô Ozu	Yasujirô Ozu	0	0	Shochiku	Japan	/hSbTEZY3jEITi9oSIgU55vflkh7.jpg			lost film	Okada and Kato, students at 'W' [i.e. Waseda] University, in Tokyo, live in the same lodgings. One morning, Kato receives a tailor's bill. Okada has seen the letter arrive, so Kato tells him it's from his girlfriend. Shortly after, the tailor himself turns up and eventually spends the whole day sitting in at the students' lodgings. Okada, meanwhile, goes to the park with his girlfriend Miyoko and spends a pleasant day there. The following Sunday, Kato goes for a walk with his girlfriend Yuriko. Coming home by bus, they bump into the tailor, who berates Kato about the unpaid bill. This puts Yuriko in a bad mood. Later, the tailor comes to their lodgings again, and, unable to stand up to his pressing demands, Kato gives him Okada's clothes, which are in the next room, in place of the money he owes. Okada's father is due to arrive on a visit to Tokyo, so Okada has no alternative but to borrow Kato's clothes, which do not fit him. Miyoko arrives, then Yuriko also turns up. Misunderstandings ensue. But in the end, the two couples go on to enjoy the pleasant days of youth.
tt0019796	大学は出たけれど	J'ai été diplômé, mais...	Daigaku wa detakeredo	Japanese	1929	11	Comedy	6.4	552	Yasujirô Ozu	Hiroshi Shimizu	0	0	Shochiku	Japan	/85IRVSByltDJh6Reqb71bSu5l6g.jpg		college, unemployment	partially lost film, young man, college, graduate, university education	Feeling the position to be beneath him, a college graduate turns down a receptionist job, but soon finds it necessary to fool his mother and fiancé into thinking that he is employed.
tt0020052	会社員生活	La vie d'un employé de bureau	Kaishain seikatsu	Japanese	1929	57	Drama	5.6	44	Yasujirô Ozu	Kôgo Noda, Yasujirô Ozu	0	0	Shochiku	Japan	/xgMC7kKKmaTVBFf77KTYHg6UEMc.jpg				
