id	original_title	french_title	romanized_title	language	release_year	runtime	genres	avg_rating	vote_count	directors	writers	budget	revenue	production_companies	production_countries	origin	poster_path	trailer_url	plot
tt0017048	狂った一頁	Une page folle	Kurutta ippêji	Japonais	1926	71	Drame, Horreur, Thriller	7.4	4532	Teinosuke Kinugasa	Teinosuke Kinugasa	0	0	Shin Kankaku-ha Eiga Renmei Productions, Kinugasa Productions, National Film Art	Japon	Japon	/jHKDJ9mqHUYIgS4jajofy0Jpx97.jpg		Un homme accepte un emploi dans un asile dans l'espoir de libérer sa femme emprisonnée.
tt0017049	狂恋の女師匠	L'amour fou d'une maîtresse de chant	Kyôren no onna shishô	Japonais	1926	53	Drame, Horreur, Romance	7.0	28	Kenji Mizoguchi		0	0	Nikkatsu Corporation	Japon	Japon	/z3DYW4jq6EB6gdBSa1yg2N4PU2K.jpg		La malédiction d'une femme jalouse détruit les amants en fuite.
tt0018600	西厢记	La Rose de Pushui	Xi xiang ji	Chinois simplifié	1927	49	Drame, Romance	6.1	163			100	100	Minxin Film Company	Chine	Chine	/8F6Atxi8kEp7T9KLixchmSp6HuY.jpg		Une célèbre histoire chinoise sur un jeune couple qui consomme son mariage sans l'approbation de ses parents.
tt0018606	懺悔の刃	Le sabre de pénitence	Zange no yaiba	Japonais	1927	70	Drame	6.5	58	Yasujirô Ozu	Kôgo Noda, Yasujirô Ozu	0	0		Japon	Japon	/1wp5X03zgg0XypxGva7MQbdFgNH.jpg		Ishimatsu est sorti de prison et veut reconstruire sa vie. Mais son frère Sakichi et ses anciens partenaires ne le permettront pas.
tt0018714	肉体美	Un corps magnifique	Nikutaibi	Japonais	1928	55	Comédie	5.1	38	Yasujirô Ozu	Akira Fushimi, Yasujirô Ozu	0	0	Shochiku	Japon	Japon	/fYWNvykgKBeG8ipz0naMpZ0VurT.jpg		Un homme picoré par la poule travaille comme modèle et mari au foyer pour sa femme artiste. Lorsque son patron la flirte et l'humilie, il décide de se venger en s'essayant au métier de peintre.
tt0019043	十字路	Routes en croix	Jûjiro	Japonais	1928	74	Drame	7.1	458	Teinosuke Kinugasa	Teinosuke Kinugasa	0	0	Kinugasa Eiga Renmei, Shochiku	Japon	Japon	/487kCNtHR7ZWKr5BToKijb2Ifv7.jpg		Après être tombée amoureuse d'une courtisane, Rikiya est aveuglée par les cendres lors d'une bagarre dans un bordel. Croyant la cécité permanente et son adversaire mort, Rikiya rentre chez sa sœur. Okiku, désespérée de protéger son frère qui se considère comme un meurtrier, veut se sacrifier pour lui et devenir une prostituée pour payer le traitement de Rikiya.
tt0019221	女房紛失	Femme perdue	Nyôbô funshitsu	Japonais	1928	55	Drame	5.4	38	Yasujirô Ozu		0	0	Shochiku	Japon	Japon	/FGZtEwOHoTZ8C2dxcL6uLoNAla.jpg		Un homme marié tombe amoureux d'une danseuse et l'oncle de sa femme engage un détective privé pour l'espionner.
tt0019543	若人の夢	Rêves de jeunesse	Wakôdo no yume	Japonais	1928	56	Comédie	5.5	53	Yasujirô Ozu	Yasujirô Ozu	0	0	Shochiku	Japon	Japon	/hSbTEZY3jEITi9oSIgU55vflkh7.jpg		Okada et Kato, étudiants à 'W' [c.-à-d. Waseda] University, à Tokyo, vivent dans les mêmes logements. Un matin, Kato reçoit la facture d'un tailleur. Okada a vu la lettre arriver, alors Kato lui dit qu'elle vient de sa petite amie. Peu de temps après, le tailleur lui-même arrive et passe finalement toute la journée assis dans le logement des étudiants. Okada, quant à lui, se rend au parc avec sa petite amie Miyoko et y passe une agréable journée. Le dimanche suivant, Kato part se promener avec sa petite amie Yuriko. En rentrant chez eux en bus, ils croisent le tailleur, qui réprimande Kato à propos de la facture impayée. Cela met Yuriko de mauvaise humeur. Plus tard, le tailleur revient chez eux et, incapable de répondre à ses demandes pressantes, Kato lui donne les vêtements d'Okada, qui se trouvent dans la pièce voisine, à la place de l'argent qu'il doit. Le père d'Okada doit arriver en visite à Tokyo, Okada n'a donc d'autre choix que d'emprunter les vêtements de Kato, qui ne lui vont pas. Miyoko arrive, puis Yuriko arrive également. Des malentendus s’ensuivent. Mais au final, les deux couples continuent de profiter des agréables jours de leur jeunesse.
tt0019796	大学は出たけれど	J'ai été diplômé, mais...	Daigaku wa detakeredo	Japonais	1929	11	Comédie	6.4	552	Yasujirô Ozu	Hiroshi Shimizu	0	0	Shochiku	Japon	Japon	/85IRVSByltDJh6Reqb71bSu5l6g.jpg		Se sentant indigne du poste, un diplômé universitaire refuse un poste de réceptionniste, mais se rend vite compte qu'il est nécessaire de tromper sa mère et sa fiancée en leur faisant croire qu'il est employé.
tt0020052	会社員生活	La vie d'un employé de bureau	Kaishain seikatsu	Japonais	1929	57	Drame	5.6	44	Yasujirô Ozu	Kôgo Noda, Yasujirô Ozu	0	0	Shochiku	Japon	Japon	/xgMC7kKKmaTVBFf77KTYHg6UEMc.jpg		
tt0020476	宝の山	La montagne au trésor	Takara no yama	Japonais	1929	67	Comédie, Drame	4.3	47	Yasujirô Ozu	Akira Fushimi, Yasujirô Ozu	0	0		Japon	Japon	/ugmHtXCHFFIuO0l8LzcrQAGxpw.jpg		
tt0020508	都会交響楽	La symphonie de la grande ville	Tokai kokyogaku	Japonais	1929	70		7.8	12	Kenji Mizoguchi		0	0		Japon	Japon	/e5zBCPFdflpFfFwMp1UVXKPICeW.jpg		Drame prolétarien de gauche d'une jeune femme aidée par un jeune de la classe ouvrière pour obtenir justice et venger sa séduction par un homme riche.
tt0020510	東京行進曲	La marche de Tokyo	Tôkyô kôshinkyoku	Japonais	1929	24	Drame	6.6	333	Kenji Mizoguchi		0	0		Japon	Japon	/4r9rmIhfsx4Qepa4R0jb6EPqZxA.jpg		Une tragédie amoureuse mélodramatique classique traitant des inégalités sociales dans le Japon féodal, représentée dans le style typique de Kenji Mizoguchi. Les scènes nostalgiques du Tokyo des années 1920 offrent une expérience visuelle précieuse sur fond de la chanson titre « Tokyo March ».
tt0020563	学生ロマンス　若き日	Jours de jeunesse	Gakusei romansu: Wakaki hi	Japonais	1929	103	Comédie	6.3	601	Yasujirô Ozu	Akira Fushimi, Yasujirô Ozu	0	0	Shochiku	Japon	Japon	/dYKAvOlA9HiJCIRs9x5q6kiMAml.jpg		Deux amis tentent de courtiser la même femme.
tt0020652	足に触った幸運	La chance a touché mes jambes	Ashi ni sawatta kôun	Japonais	1930	74	Drame	4.9	49	Yasujirô Ozu	Kôgo Noda	0	0	Shochiku	Japon	Japon	/1F9bNIhEpa2ITUITysF14qsOzag.jpg		
tt0020980	朗かに歩め	Marcher joyeusement	Hogaraka ni ayume	Japonais	1930	95	Crime, Drame, Romance	6.4	746	Yasujirô Ozu	Hiroshi Shimizu	0	0	Shochiku	Japon	Japon	/eEc29B5WbCvdTKOtQ2QO3ZmjITs.jpg		Un petit quartier veut se lancer directement dans une bonne fille mais découvre que recommencer n'est pas aussi simple qu'il y paraît.
tt0021024	結婚学入門	Introduction au mariage	Kekkongaku nyûmon	Japonais	1930	71	Comédie	6.1	45	Yasujirô Ozu	Kôgo Noda	0	0	Shochiku	Japon	Japon	/tOe5gdAR9bls2oozPFDZ3wdACqS.jpg		
tt0021201	お嬢さん	Mademoiselle	Ojôsan	Japonais	1930	135	Comédie	4.1	57	Yasujirô Ozu	Akira Fushimi, Yasujirô Ozu	0	0	Shochiku	Japon	Japon	/2OuPzzhyNrPnkXfXrteB73BVgNW.jpg		
tt0021283	落第はしたけれど	J'ai été recalé, mais...	Rakudai wa shitakeredo	Japonais	1930	65	Comédie, Drame	6.3	559	Yasujirô Ozu	Akira Fushimi, Yasujirô Ozu	0	0	Shochiku	Japon	Japon	/lVO0dIlgh5XdPI85Bl35YyGnlG3.jpg		L'histoire d'un étudiant (Tatsuo Saitô) et de ses camarades de classe essayant de réussir les examens en trichant.
