id	french_title	tags
tt0017048	Une page folle	drama horror thriller a man takes a job at an asylum with hopes of freeing his imprisoned wife. japan asylum silentfilm mentalasylum dowry partiallylostfilm psychologicalhorror asylum silentfilm mentalillness insaneasylum fatherdaughterrelationship teinosukekinugasa
tt0017049	L'amour fou d'une maîtresse de chant	drama horror romance the curse of a jealous woman destroys the lovers on the run. loversonthelam woman ghost basedonnovel kenjimizoguchi
tt0018600	La Rose de Pushui	drama romance a famous chinese story about a young couple who consummate their marriage without the approval of their parents. partiallylostfilm marriage
tt0018606	Le sabre de pénitence	drama ishimatsu is out of jail and wants to rebuild his life. but his brother, sakichi, and his old partners are not going to allow it. lostfilm yasujirôozu
tt0018714	Un corps magnifique	comedy a hen-pecked man works as his artist wife's model and a house-husband. when her patron flirts with her and humiliates him, he decides to get revenge by trying his own hand as a painter. lostfilm yasujirôozu
tt0019043	Routes en croix	drama after falling in love with a courtesan, rikiya is blinded by ash during a fight in a brothel. believing the blindness permanent and his opponent dead, rikiya goes back home to his sister. okiku, desperate to protect her brother who thinks himself a murderer, wants to sacrifice herself for him and become a prostitute to pay for rikiya's treatment. brothel courtesan prostitute sacrifice fight brother sister teinosukekinugasa
tt0019221	Femme perdue	drama a married man falls for a dancer and his wife's uncle hires a private detective to spy on him. lostfilm yasujirôozu
tt0019543	Rêves de jeunesse	comedy okada and kato, students at 'w' [i.e. waseda] university, in tokyo, live in the same lodgings. one morning, kato receives a tailor's bill. okada has seen the letter arrive, so kato tells him it's from his girlfriend. shortly after, the tailor himself turns up and eventually spends the whole day sitting in at the students' lodgings. okada, meanwhile, goes to the park with his girlfriend miyoko and spends a pleasant day there. the following sunday, kato goes for a walk with his girlfriend yuriko. coming home by bus, they bump into the tailor, who berates kato about the unpaid bill. this puts yuriko in a bad mood. later, the tailor comes to their lodgings again, and, unable to stand up to his pressing demands, kato gives him okada's clothes, which are in the next room, in place of the money he owes. okada's father is due to arrive on a visit to tokyo, so okada has no alternative but to borrow kato's clothes, which do not fit him. miyoko arrives, then yuriko also turns up. misunderstandings ensue. but in the end, the two couples go on to enjoy the pleasant days of youth. lostfilm yasujirôozu
tt0019796	J'ai été diplômé, mais...	comedy feeling the position to be beneath him, a college graduate turns down a receptionist job, but soon finds it necessary to fool his mother and fiancé into thinking that he is employed. college unemployment partiallylostfilm youngman college graduate universityeducation yasujirôozu
tt0020052	La vie d'un employé de bureau	drama yasujirôozu
tt0020476	La montagne au trésor	comedy drama lostfilm yasujirôozu
tt0020508	La symphonie de la grande ville	leftist proletarian drama of a young woman who is assisted by a working class youth in finding justice and avenging her seduction by a rich man. kenjimizoguchi
tt0020510	La marche de Tokyo	"drama a classic melodramatic love tragedy addressing social inequality in feudal japan, depicted in kenji mizoguchi's typical style. the nostalgic scenes of 1920s tokyo provides a valuable visual experience set against the background of the title song, ""tokyo march."" partiallylostfilm basedonnovel kenjimizoguchi"
tt0020563	Jours de jeunesse	comedy two friends try and court the same woman. nansensu romanticrivalry heterosexuality heterosexual sock collegestudent yasujirôozu
tt0020652	La chance a touché mes jambes	drama lostfilm yasujirôozu
tt0020980	Marcher joyeusement	crime drama romance a small-time hood wants to go straight for a good girl but finds that starting over isn't as simple as it sounds. golf snooker pickpocket sistersisterrelationship goingstraight yasujirôozu
tt0021024	Introduction au mariage	comedy lostfilm yasujirôozu
tt0021201	Mademoiselle	comedy lostfilm yasujirôozu
tt0021283	J'ai été recalé, mais...	comedy drama a story of a college student (tatsuo saitô) and his schoolmates trying to pass the exams by cheating. college studying flunkedout friend friendship yasujirôozu
tt0021406	L'épouse de la nuit	crime drama a desperate man with a sick daughter decides to commit a robbery in order to help her. he begins to feel remorse though, which makes him question his decision. daughter man japanesenoir yasujirôozu
tt0021662	Les malheurs de la beauté	drama two people are fascinated by a sculptor's statue. lostfilm yasujirôozu
tt0022048	La dame et les barbes	comedy romance a bearded kendo champion has difficulties in life because of his conservative ways and his unusual beard. beard arrangedmarriage gangster beardedman youngadult yasujirôozu
tt0022214	Le chevalier voleur	action drama the only completely preserved silent film directed by daisuke ito, this film relates the life of a legendary thief, jirokichi the rat in an exquisite original story and through the revolutionary use of dynamic intertitles. the skillful benshi narration featuring a mixture of edo dialect and kansai dialect is highly entertaining. thief samurai basedonnovel daisukeitô
tt0022485	Le choeur de Tokyo	comedy drama a married tokyo man faces unemployment after standing up for an older colleague. protest silentfilm insurance bonus toilethumor pet marriage restroom phonographrecord yasujirôozu
tt0022977	Le printemps vient des femmes	drama silentfilm lostfilm yasujirôozu
tt0023036	Du sang sur le volcan	drama a warlord's nephew lusts for farmer song ke's sister. when song refuses, the whole family is thrown into jail and the sister commits suicide. the father dies of grief and song lives with his cousin abroad. the warlord's nephew loses power and also escapes to the same country. silentfilm yusun
tt0023197	Jusqu'à notre prochaine rencontre	drama yasujirôozu
tt0023261	Sans liens de parenté	drama an actress returns to tokyo after a successful stint in hollywood to reclaim - with the help of her gangster brother - the daughter she abandoned years before. daughter brother actress basedonnovel mikionaruse
tt0023450	Où sont les rêves de jeunesse?	comedy drama when a young man inherits his father's lucrative business, he cheats the system to set up three of his college friends with jobs. college young man friend marriageproposal yasujirôozu
tt0023634	Et pourtant nous sommes nés	comedy drama two young brothers throw a tantrum when they discover that their father isn't the most important man in his workplace. japan suburb silentfilm childhood neighborhood kidgang childhood bullying sparrowegg payday newkidinschool yasujirôozu
tt0023937	Le caprice	drama two tokyo co-workers come across a destitute young lady in search of a place to live. japan newadultromance jealousy cowrittenbydirector basedonstory yasujirôozu
tt0024060	La fête à Gion	drama lostfilm kenjimizoguchi
tt0024085	La Mariee Parle Dans Son Sommeil	comedy drama only one of the student class graduates and his old gang invade his home to hear his new bride talk in her sleep. heinosukegosho
tt0024120	Femmes et voyous	crime drama romance a gangster tries to find redemption with the inadvertent help of an innocent shop girl and his jealous girlfriend will do anything to keep him. girl gangster redemption japanesenoir brothersisterrelationship yasujirôozu
tt0024214	Après notre séparation	drama two geisha with a connection to a young man deal with life's hardships. geisha family silentfilm resentment shame teenageson young man mikionaruse
tt0024641	Le fil blanc de la cascade	drama the tragic tale of a woman who despite doing good where she can gets punished by society. basedonnovel kenjimizoguchi
tt0024676	La femme de Tokyo	drama ryoichi and chikako are brother and sister. they live together. chikako works during the day in an office and at night she prostitutes herself to fund her brother's studies at the university. ryoichi doesn't know about his sister's secret life, but he is dating harue whose brother is a policeman. prostitution parent basedonnovel yasujirôozu
tt0024793	Rêves de chaque nuit	drama a single mother works tirelessly as a ginza bar hostess to ensure a better life for her young son until--her long-lost husband returns. son tokyo japan singlemother silentfilm husband bar mother husband young son mikionaruse
tt0025214	Une femme devrait être aimée	drama two half-brothers try to cope with the loss of their father. adaptation stepmother stepson stepbrother lossoffather uncaringstepson yasujirôozu
tt0025338	La rue sans fin	drama story of a waitress whose life, despite a host of male admirers and even some intrigued movie talent scouts, ends up taking a stiflingly domestic turn after a wealthy businessman accidentally hits her with his car. waitress boredom marriage hospital caraccident family hometown boyfriend waitress mikionaruse
tt0025929	Histoire d'un acteur ambulant	drama a kabuki actor's mistress hatches a jealous plot to bring down her lover's son. flyfishing revenge familyabandonment mistress train unknownfather silentfilm agingactor childabandonment paternityrevealed malebonding financialruin illegitimateson theatertroupe japaneseman kabuki startingover fathersonconflict remade actors womanscorned absentfather revengeforcheating troupe absentfather jealouslover silentmovie actor yasujirôozu
tt0026444	Les coquelicots	drama based on soseki natsume's 1908 novel of the same title, poppy is an ornately complicated story of desire and ambition. fujio is beautiful, talented, well-heeled, and engaged to munechika, a rising young diplomat. she has promised him a gold watch, a family heirloom, as an emblem of their engagement. but she falls in love with ono, a student employed to tutor her in english, who is attracted by her beauty and wealth. ono is himself bound by an engagement to sayoko, the daughter of his mentor, professor inoue. the self-centered fujio is ready to forsake everything for ono, but he is prevailed upon to go ahead with his marriage to sayoko. fujio then offers the watch to munechika who, perceiving fujio's true feelings, hurls the watch into the sea. basedonnovelorbook heirloom familyhonor teacherstudentrelationship fatherdaughterrelationship promiseofmarriage seduction kenjimizoguchi
tt0026449	Une jeune fille pure	drama yasujirôozu
tt0026551	L'actrice et le poète	comedy among the tight-knit neighbours are a poet, his actress wife, a bachelor budding author, a tobacco shop owner-cum-landlady, an insurance salesman and his nosy and greedy wife. enter a young and seemingly high-class couple who just so happens is open to purchasing life insurance from their swift neighbour. in the meantime, life is imitating art across the street, which may end up providing for either a happy ending or a rude split - eventually that is. landlord landlady suicide store shop mikionaruse
tt0026682	Oyuki la vierge	drama war during a war in the 19th century, a village linked to rebellious forces is attacked by the government army, so a rich family decides to run away; two courtesans travel along them. village everydaylifeduringwartime fatherpimpsoutdaughter hypocrisy honor kenjimizoguchi
