id	french_title	tags
tt0017048	Une page folle	drama horror thriller a man take a job at an asylum with hope of free hi imprison wife. japan asylum silentfilm mentalasylum dowri partiallylostfilm psychologicalhorror asylum silentfilm mentalil insaneasylum fatherdaughterrelationship teinosukekinugasa
tt0017049	L'amour fou d'une maîtresse de chant	drama horror romanc the curs of a jealou woman destroy the lover on the run. loversonthelam woman ghost basedonnovel kenjimizoguchi
tt0018600	La Rose de Pushui	drama romanc a famou chines stori about a young coupl who consumm their marriag without the approv of their parents. partiallylostfilm marriag
tt0018606	Le sabre de pénitence	drama ishimatsu is out of jail and want to rebuild hi life. but hi brother, sakichi, and hi old partner are not go to allow it. lostfilm yasujirôozu
tt0018714	Un corps magnifique	comedi a hen-peck man work as hi artist wife' model and a house-husband. when her patron flirt with her and humili him, he decid to get reveng by tri hi own hand as a painter. lostfilm yasujirôozu
tt0019043	Routes en croix	drama after fall in love with a courtesan, rikiya is blind by ash dure a fight in a brothel. believ the blind perman and hi oppon dead, rikiya goe back home to hi sister. okiku, desper to protect her brother who think himself a murderer, want to sacrific herself for him and becom a prostitut to pay for rikiya' treatment. brothel courtesan prostitut sacrific fight brother sister teinosukekinugasa
tt0019221	Femme perdue	drama a marri man fall for a dancer and hi wife' uncl hire a privat detect to spi on him. lostfilm yasujirôozu
tt0019543	Rêves de jeunesse	comedi okada and kato, student at 'w' [i.e. waseda] university, in tokyo, live in the same lodgings. one morning, kato receiv a tailor' bill. okada ha seen the letter arrive, so kato tell him it' from hi girlfriend. shortli after, the tailor himself turn up and eventu spend the whole day sit in at the students' lodgings. okada, meanwhile, goe to the park with hi girlfriend miyoko and spend a pleasant day there. the follow sunday, kato goe for a walk with hi girlfriend yuriko. come home by bus, they bump into the tailor, who berat kato about the unpaid bill. thi put yuriko in a bad mood. later, the tailor come to their lodg again, and, unabl to stand up to hi press demands, kato give him okada' clothes, which are in the next room, in place of the money he owes. okada' father is due to arriv on a visit to tokyo, so okada ha no altern but to borrow kato' clothes, which do not fit him. miyoko arrives, then yuriko also turn up. misunderstand ensue. but in the end, the two coupl go on to enjoy the pleasant day of youth. lostfilm yasujirôozu
tt0019796	J'ai été diplômé, mais...	comedi feel the posit to be beneath him, a colleg graduat turn down a receptionist job, but soon find it necessari to fool hi mother and fiancé into think that he is employed. colleg unemploy partiallylostfilm youngman colleg graduat universityeduc yasujirôozu
tt0020052	La vie d'un employé de bureau	drama yasujirôozu
tt0020476	La montagne au trésor	comedi drama lostfilm yasujirôozu
tt0020508	La symphonie de la grande ville	leftist proletarian drama of a young woman who is assist by a work class youth in find justic and aveng her seduct by a rich man. kenjimizoguchi
tt0020510	La marche de Tokyo	"drama a classic melodramat love tragedi address social inequ in feudal japan, depict in kenji mizoguchi' typic style. the nostalg scene of 1920 tokyo provid a valuabl visual experi set against the background of the titl song, ""tokyo march."" partiallylostfilm basedonnovel kenjimizoguchi"
tt0020563	Jours de jeunesse	comedi two friend tri and court the same woman. nansensu romanticrivalri heterosexu heterosexu sock collegestud yasujirôozu
tt0020652	La chance a touché mes jambes	drama lostfilm yasujirôozu
tt0020980	Marcher joyeusement	crime drama romanc a small-tim hood want to go straight for a good girl but find that start over isn't as simpl as it sounds. golf snooker pickpocket sistersisterrelationship goingstraight yasujirôozu
tt0021024	Introduction au mariage	comedi lostfilm yasujirôozu
tt0021201	Mademoiselle	comedi lostfilm yasujirôozu
tt0021283	J'ai été recalé, mais...	comedi drama a stori of a colleg student (tatsuo saitô) and hi schoolmat tri to pass the exam by cheating. colleg studi flunkedout friend friendship yasujirôozu
